a52dec 0.7.4-8
aalib 1.4rc5-10
abs 2.4.4-1
accountsservice 0.6.37-1
acl 2.2.52-2
acpi 1.7-1
aircrack-ng 1.1-10
alsa-lib 1.0.27.2-1
alsa-plugins 1.0.28-1
alsa-utils 1.0.27.2-1
alsaequal 0.6-10
android-sdk-build-tools r19.0.3-1
android-sdk-platform-tools r19.0.1-1
apvlv 0.1.4.20121023-3
archey3 0.5-2
archlinux-keyring 20140220-1
aria2 1.18.5-1
arp-scan 1.9-1
asciidoc 8.6.9-1
aspell 0.60.6.1-1
at-spi2-atk 2.12.1-1
at-spi2-core 2.12.0-1
atk 2.12.0-1
attr 2.4.47-1
autoconf 2.69-1
automake 1.14.1-1
avahi 0.6.31-12
babl 0.1.10-1
bash 4.3.030-1
bc 1.06.95-1
binutils 2.24-5
bison 3.0.2-1
blas 3.5.0-1
blender 14:2.70a-5
bluez 5.21-2
boost 1.55.0-6
boost-libs 1.55.0-6
btsync 1.2.82-1
bzip2 1.0.6-5
c-ares 1.10.0-2
ca-certificates 20140325-1
ca-certificates-java 20140324-2
cairo 1.12.16-2
calcurse 3.1.4-2
cantarell-fonts 0.0.15-1
caps 0.9.23-1
caribou 0.4.13-1
cdm-git 1:2013.05.24-1
chromium 35.0.1916.153-1
cifs-utils 6.3-1
clang 3.4.1-2
classpath 0.98-7
cloog 0.18.1-3
clucene 2.3.3.4-8
clutter 1.18.2-1
cmake 2.8.12.2-2
cogl 1.18.2-1
colord 1.2.0-1
compositeproto 0.4.2-2
confuse 2.7-3
conky 1.9.0-4
coreutils 8.22-4
cpp-netlib 0.11.0-2
cracklib 2.9.0-2
cronie 1.4.11-2
cryptsetup 1.6.4-1
ctags 5.8-3
cups 1.7.3-3
cups-filters 1.0.54-1
curl 7.37.0-1
damageproto 1.2.1-2
db 5.3.28-1
dbus 1.8.2-1
dbus-glib 0.102-1
dconf 0.20.0-1
desktop-file-utils 0.22-1
device-mapper 2.02.106-2
dhcpcd 6.3.2-1
dialog 1:1.2_20140219-1
diffutils 3.3-1
dirmngr 1.1.1-2
djvulibre 3.5.25.3-1
dmxproto 2.3.1-2
dnssec-anchors 20130320-1
docbook-xml 4.5-5
docbook-xsl 1.78.1-1
dosfstools 3.0.26-1
dotconf 1.3-4
doxygen 1.8.7-1
dpkg 1.16.12-1
dropbox-cli 1.6.1-2
dropbox-experimental 2.7.38-1
dwm 6.0-1
dwmstatus-git 20121224.3-1
e2fsprogs 1.42.10-1
eclipse 4.4.1-1
ed 1.10-1
elfutils 0.158-3
emacs-nox 24.3-1
enca 1.15-1
enchant 1.6.0-4
envypn-font 1.6-3
epson-inkjet-printer-workforce-635-nx625-series 1.0.1-7
evince 3.12.1-1
expat 2.1.0-3
faac 1.28-5
faad2 2.7-4
fakeroot 1.20-1
feh 2.12-1
ffmpeg 1:2.2.3-2
fftw 3.3.4-1
file 5.18-1
filesystem 2014.06-1
findutils 4.4.2-5
fixesproto 5.0-2
flac 1.3.0-2
flashplugin 11.2.202.378-1
flex 2.5.39-1
fltk 1.3.2-5
fontconfig 2.11.1-1
fontsproto 2.1.3-1
freetype2 2.5.3-2
fribidi 0.19.6-1
gamin 0.1.10-8
gawk 4.1.1-1
gc 7.4.0-3
gcc 4.9.0-4
gcc-libs 4.9.0-4
gcr 3.12.2-1
gd 2.1.0-2
gdbm 1.11-1
gdk-pixbuf2 2.30.8-1
gdm 3.12.2-1
gegl 0.2.0-11
geoclue 0.12.99-1
geoclue2 2.1.8-2
geocode-glib 3.12.2-1
gettext 0.18.3.2-1
ghostscript 9.14-1
giblib 1.2.4-6
giflib 5.0.6-1
gimp 2.8.10-1
git 2.0.0-1
gjs 1.40.1-1
glamor-egl 0.6.0-1
glc 0.5.8-4
glew 1.10.0-2
glfw 3.0.4-1
glib 1.2.10-11
glib-networking 2.40.1-1
glib2 2.40.0-1
glibc 2.19-5
glu 9.0.0-2
gmp 6.0.0-1
gnome-bluetooth 3.12.0-1
gnome-desktop 1:3.12.2-1
gnome-doc-utils 0.20.10-1
gnome-icon-theme 3.12.0-2
gnome-icon-theme-symbolic 3.12.0-2
gnome-menus 3.10.1-2
gnome-session 3.12.1-1
gnome-settings-daemon 3.12.2-1
gnome-shell 3.12.2-1
gnome-themes-standard 3.12.0-1
gnumeric 1.12.16-2
gnupg 2.0.23-1
gnutls 3.3.4-1
gobject-introspection 1.40.0-1
goffice 0.10.16-1
gperf 3.0.4-4
gpgme 1.5.0-1
gpm 1.20.7-4
graphite 1:1.2.4-1
grep 2.19-1
groff 1.22.2-6
grub 1:2.02.beta2-4
gsettings-desktop-schemas 3.12.2-1
gsfonts 1.0.7pre44-4
gsm 1.0.13-7
gst-plugins-base-libs 1.2.4-1
gstreamer 1.2.4-1
gstreamer0.10 0.10.36-4
gstreamer0.10-base 0.10.36-3
gtk 1.2.10-13
gtk-doc 1.20-1
gtk-update-icon-cache 2.24.23-1
gtk2 2.24.23-1
gtk3 3.12.2-1
gtkglext 1.2.0-9
guile 2.0.11-1
gv 3.7.4-2
gvim 7.4.307-4
gzip 1.6-1
harfbuzz 0.9.28-1
harfbuzz-icu 0.9.28-1
help2man 1.44.1-1
hicolor-icon-theme 0.13-1
hspell 1.2-1
htop-solarized-vi 1.0.2-2
hunspell 1.3.3-1
hwids 20130915.1-1
hyphen 2.8.6-1
i3-git 4.7.2.107.g9b03be6-1
i3status 2.8-2
iana-etc 2.30-4
icedtea-web-java7 1.5-1
icu 53.1-1
ilmbase 2.1.0-1
imagemagick 6.8.9.1-3
imlib2 1.4.6-1
inetutils 1.9.2-1
iniparser 3.1-4
inputproto 2.3.1-1
intel-dri 10.2.1-1
intel-tbb 4.2_20140122-1
iproute2 3.14.0-1
iptables 1.4.21-1
